id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
1640,pimples,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,TD3AifL8,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1641,"allergy, migraine",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,WSVjtMqM,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1642,skin rashes,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,pHF58jba,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1643,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,vYvno92w,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1644,"allergy, cold",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,8Il36T2v,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1645,pimples,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,JZRfkxu2,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1646,"liver problem, psoriasis, pimples",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,9Genr5ML,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1647,"stuffy nose, migraine",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,hASLHLlP,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1648,"nose block, headache, sinus",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,qTIi231p,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1649,liver problem,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,O3lA1d1O,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1650,"eczema, pimples, skin rashes",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,HvZ9VTAO,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1651,"headache, stuffy nose, cold",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,Upc8SdSG,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1652,"indigestion, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,3gdbFH9k,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1653,kapha disorder,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,41BjKas9,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1654,asthma,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,3zalADpk,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1655,inflammation,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,D2g12CEs,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1656,"allergy, acidity, skin rashes",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,GdgFvKV1,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1657,cough,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,yI79KjWN,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1658,"skin boils, ulcer, gout",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,wFcN93qy,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1659,"bronchitis, respiratory issue, kapha disorder",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,VB21uABD,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1660,arthritis,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,uFMVG2SH,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1661,"migraine, stuffy nose, sinus",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,onsN7Ovo,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1662,"acidity, pimples",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,ED17eWKo,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1663,"acidity, psoriasis",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,oompaT6l,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1664,joint pain,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,H6Uun6lL,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1665,allergy,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,IkzfPZpx,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1666,"psoriasis, pimples",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,VTMT6i5x,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1667,"cough, obesity",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,FnVa3LtS,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1668,"liver problem, psoriasis, skin rashes",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,t6j8RpYU,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1669,gastric problem,Vaidya Rohit Patil,Basti,vaidya.rohit.patil,rNyqnkAy,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1670,"headache, stuffy nose, cold",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,jlSyDJIF,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1671,cold,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,oczzaTsF,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
1672,kapha disorder,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,MMCrmJGV,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1673,"acidity, skin rashes",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,9s35lGLj,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1674,"sinus, stuffy nose",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,TUTwNkdo,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1675,ulcer,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,ajWh9yzE,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1676,"constipation, indigestion",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,sOTryBVc,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1677,bronchitis,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,KkANcMwl,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1678,"allergy, nose block, stuffy nose",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,2kpFa0t1,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1679,"ulcer, inflammation",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,7M267W4c,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1680,"eczema, liver problem, allergy",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,utHdOxqX,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1681,"stuffy nose, allergy",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,ykBawTtB,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1682,"gastric problem, constipation, joint pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,puMaoQ7a,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1683,"constipation, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,P7QURvK2,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1684,"skin boils, gout, ulcer",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,xWbzekmo,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1685,"asthma, obesity, cough",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,FxIge6KF,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1686,"bronchitis, cough",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,lDzRpmS3,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1687,"indigestion, arthritis",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,8cbSLfPG,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1688,back pain,Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,zayug4tj,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1689,inflammation,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,s7vvuoZj,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1690,"cold, migraine, headache",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,sJk6WEor,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
1691,"pimples, psoriasis",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,k12fM1mN,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1692,"asthma, cough",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,lEWMONbR,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1693,psoriasis,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,QBKilN2V,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1694,"kapha disorder, respiratory issue",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,eufuxSZO,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1695,cough,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,Ntfgoxdk,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1696,acne,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,RiGvCJs4,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1697,"bronchitis, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,YsfZz5wd,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1698,"indigestion, arthritis",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,xXjH43qX,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1699,"inflammation, blood impure, skin boils",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,7OK6fJaK,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1700,skin boils,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,qKrJT8aN,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1701,asthma,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,NAbj7pVE,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1702,"acne, blood impure",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,LT08s3ti,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1703,allergy,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,WVH0Eq8G,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1704,"acidity, liver problem, allergy",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,LqsRtQPN,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1705,"arthritis, joint pain, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,22Ns1V7f,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1706,constipation,Vaidya Rohit Patil,Basti,vaidya.rohit.patil,CWwaLFP7,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1707,eczema,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,vgVz3sGe,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1708,respiratory issue,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,STPy35rb,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1709,"liver problem, skin rashes",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,MwLgyIYy,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1710,"arthritis, back pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,uMgl0KJ3,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1711,"acidity, liver problem",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,s2Ork2IO,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1712,gastric problem,Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,fvMZR9N7,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1713,"bronchitis, asthma, obesity",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,WmWISO7z,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1714,"blood impure, ulcer",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,o3GmitbN,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1715,gastric problem,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,vrTfczUl,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1716,joint pain,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,YwaMX5e0,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1717,"asthma, cough, kapha disorder",Vaidya Lata More,Vamana,vaidya.lata.more,sP8Qesh9,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1718,"bronchitis, obesity, respiratory issue",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,q7Ekziwu,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1719,"nose block, headache, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,6uSHrtOl,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1720,gout,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,JhWvfWZO,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1721,"migraine, cold",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,9ajhKgv8,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1722,"gastric problem, indigestion, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,yLF0yUMf,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1723,"asthma, bronchitis, respiratory issue",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,fI0VsKnW,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1724,"arthritis, joint pain, back pain",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,W46G5x8g,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
1725,"skin rashes, liver problem",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,G3MYuu4E,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1726,indigestion,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,NgT9VmKg,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1727,"constipation, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,9WKvhX75,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1728,"inflammation, skin boils",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,3dijqULh,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1729,"asthma, bronchitis",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,6Fm5kAua,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
1730,"respiratory issue, kapha disorder, asthma",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,6011OjkP,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1731,"headache, stuffy nose",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,xqVOwDQl,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1732,"nose block, migraine",Vaidya Priya Nair,Nasya,vaidya.priya.nair,STGi18OQ,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1733,"arthritis, indigestion, constipation",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,tY42RiKO,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1734,allergy,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,miJ6Mbfe,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
1735,asthma,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,aq0601J5,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1736,"eczema, skin rashes, liver problem",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,zKGeUnPd,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1737,migraine,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,r4UEMvJh,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1738,blood impure,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,e0vvxWJW,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
1739,"gastric problem, joint pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,W6WIi5ju,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
1740,obesity,Vaidya Lata More,Vamana,vaidya.lata.more,qfesFgqL,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1741,"skin boils, ulcer, inflammation",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,goySMt8u,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1742,"liver problem, psoriasis",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,4LpWpGQL,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1743,"pimples, eczema",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,kfLbukPw,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1744,"inflammation, skin boils",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,MSoxbQXq,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
1745,bronchitis,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,0dsZnadg,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1746,eczema,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,wLE0Z9yo,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1747,"allergy, nose block",Vaidya Priya Nair,Nasya,vaidya.priya.nair,hk6qK0Hy,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1748,"back pain, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,AbrB3DLB,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
1749,"respiratory issue, cough, kapha disorder",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,bEZjqjSb,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1750,"bronchitis, obesity, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,b4G1c5dE,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
1751,"nose block, sinus, migraine",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,6afkiNhQ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1752,acidity,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,f2cFOtn2,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1753,respiratory issue,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,czuL5E8y,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1754,indigestion,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,GYavtM9P,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1755,"cough, asthma",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,pF9MV6WS,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
1756,"kapha disorder, respiratory issue, asthma",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,hpryzAw1,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1757,constipation,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,qF88HkUq,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
1758,"allergy, acidity, eczema",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,SF6IC8Dr,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
1759,"eczema, acidity",Vaidya Seema Verma,Virechana,vaidya.seema.verma,9Zl4iqqP,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
1760,liver problem,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,eRtN1oLX,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
1761,liver problem,Vaidya Seema Verma,Virechana,vaidya.seema.verma,glscT8ty,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
1762,kapha disorder,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,UmZnbj6G,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
1763,"allergy, skin rashes",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,F34mLbRS,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
1764,"inflammation, ulcer",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,Fm1035si,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
1765,"indigestion, constipation",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,vPmfbiLr,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
1766,"constipation, indigestion, back pain",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,zA3FFpy1,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
